time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-02-22T22:39:32.860Z,-60.195,-47.1947,10.14,5.5,mb,,57,8.289,0.64,us,usc000mwta,2014-02-24T14:56:22.000Z,"Scotia Sea",earthquake
2014-02-22T22:29:42.000Z,65.3525,-167.5138,10,2.8,ml,5,161.999987040001,1.199251,1.77,ak,ak11172064,2014-02-27T20:26:29.089Z,"77km ESE of Little Diomede Island, Alaska",earthquake
2014-02-22T21:28:14.660Z,-19.3737,-177.7513,376.5,4.4,mb,,91,4.297,0.85,us,usc000mwrj,2014-02-23T05:30:48.393Z,"172km NE of Ndoi Island, Fiji",earthquake
2014-02-22T20:22:38.000Z,51.0819,-176.404,25.4,2.6,ml,9,295.199976384002,0.8525012,0.53,ak,ak11169080,2014-02-23T04:25:21.063Z,"90km SSE of Adak, Alaska",earthquake
2014-02-22T19:58:41.600Z,18.8243,-64.8805,47,2.9,Md,15,248.4,0.47520879,0.17,pr,pr14053002,2014-02-23T04:01:24.978Z,"53km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2014-02-22T19:30:34.250Z,36.8131,3.6603,13.65,4.6,mb,,176,3.801,0.82,us,usc000mwn1,2014-02-25T16:16:31.023Z,"10km N of Isser, Algeria",earthquake
2014-02-22T18:11:47.750Z,47.7862,152.4305,119.47,4.3,mb,,131,6.3,1.62,us,usc000mwk3,2014-02-26T21:41:49.000Z,"290km ESE of Vostok, Russia",earthquake
2014-02-22T17:29:49.470Z,1.2256,97.2704,17.36,5.3,mwb,,21,2.203,0.94,us,usc000mwin,2014-02-26T21:34:30.000Z,"170km SE of Sinabang, Indonesia",earthquake
2014-02-22T17:29:08.110Z,27.9872,56.8077,11.49,4.3,mb,,126,3.077,0.85,us,usc000mwiq,2014-02-26T20:47:37.000Z,"96km NNW of Minab, Iran",earthquake
2014-02-22T17:27:58.100Z,1.0732,97.2105,21.53,5.1,mb,,64,2.35,1.11,us,usc000mwip,2014-02-23T01:30:38.453Z,"180km SSE of Sinabang, Indonesia",earthquake
2014-02-22T16:29:12.000Z,59.9065,-152.6854,85.5,2.7,ml,30,169.199986464001,0.1985277,1.04,ak,ak11168964,2014-02-23T00:31:44.011Z,"50km WNW of Anchor Point, Alaska",earthquake
2014-02-22T16:03:26.200Z,19.5701,-65.2705,18,3.3,Md,10,284.4,1.24686161,0.18,pr,pr14053001,2014-02-23T00:06:07.669Z,"139km NNE of Vieques, Puerto Rico",earthquake
2014-02-22T15:42:06.820Z,37.293,36.2853,10.1,4.5,mb,,128,0.747,0.87,us,usc000mwf4,2014-02-22T23:44:41.053Z,"16km WNW of Haruniye, Turkey",earthquake
2014-02-22T15:20:13.000Z,54.6595,-162.4767,59.2,2.5,ml,5,230.399981568001,0.4599374,0.26,ak,ak11172017,2014-02-27T20:26:59.195Z,"60km SSE of Cold Bay, Alaska",earthquake
2014-02-22T14:43:38.000Z,36.1673,-89.6615,8.2,2.5,md,17,75.5999939520005,0.05389892,0.04,nm,nm60069266,2014-02-22T22:46:53.946Z,"2km S of Caruthersville, Missouri",earthquake
2014-02-22T14:06:52.330Z,36.1601,-96.9849,5,2.9,mb_lg,,141,0.508,0.66,us,usc000mwdk,2014-02-23T13:58:40.708Z,"8km NE of Stillwater, Oklahoma",earthquake
2014-02-22T14:00:30.000Z,61.289,-150.3628,48.6,2.7,ml,52,32.3999974080002,0.1625951,0.62,ak,ak11168950,2014-02-22T21:33:00.197Z,"26km WNW of Anchorage, Alaska",earthquake
2014-02-22T11:45:35.310Z,1.1166,97.0682,10,4.7,mb,,94,2.427,0.68,us,usc000mwav,2014-02-22T19:48:06.307Z,"169km SSE of Sinabang, Indonesia",earthquake
2014-02-22T10:31:03.940Z,24.5597,123.5004,68.58,4.7,mb,,80,0.454,0.92,us,usc000mwa2,2014-02-22T18:33:35.213Z,"51km ENE of Yonakuni, Japan",earthquake
2014-02-22T08:21:42.650Z,35.782,-97.468,6.1,2.5,ml,,,,0.56,us,usc000mw9g,2014-02-27T06:26:51.000Z,"11km SSW of Guthrie, Oklahoma",earthquake
2014-02-22T07:41:49.000Z,57.0912,-155.3494,18,2.6,ml,5,223.199982144001,0.8282467,0.85,ak,ak11168813,2014-02-22T15:44:21.538Z,"96km WSW of Larsen Bay, Alaska",earthquake
2014-02-22T06:24:36.100Z,-8.8207,-108.7515,10,4.8,mb,,113,31.24,1.23,us,usc000mw8j,2014-02-22T14:27:16.929Z,"Central East Pacific Rise",earthquake
2014-02-22T06:23:29.300Z,38.8352,-122.8015,3,2.9,Ml,,28.8,0.00898315,0.05,nc,nc72172646,2014-02-28T06:05:09.430Z,"6km WNW of Cobb, California",earthquake
2014-02-22T05:37:38.050Z,-7.9268,-108.8446,10,4.6,mb,,127,27.287,0.85,us,usc000mw83,2014-02-22T13:40:09.120Z,"Central East Pacific Rise",earthquake
2014-02-22T04:56:18.280Z,37.8161,102.2631,10,4.4,mb,,151,10.638,0.7,us,usc000mw7l,2014-02-22T12:58:51.251Z,"75km S of Jinchang, China",earthquake
2014-02-22T04:05:07.920Z,-18.7386,169.0293,221.1,4.3,mb,,131,1.195,0.34,us,usc000mw76,2014-02-22T12:07:47.996Z,"93km NNW of Isangel, Vanuatu",earthquake
2014-02-22T03:50:31.000Z,51.8908,-173.2072,93.2,2.5,ml,7,323.999974080002,,0.36,ak,ak11171945,2014-02-27T20:24:14.252Z,"76km ESE of Atka, Alaska",earthquake
2014-02-22T02:58:39.130Z,36.9275,73.721,66,4.1,mb,,89,3.29,0.72,us,usc000mw6q,2014-02-22T11:01:20.388Z,"83km N of Gakuch, Pakistan",earthquake
2014-02-22T02:10:17.000Z,51.936,-173.3727,81.4,3,ml,7,323.999974080002,0.5587521,0.72,ak,ak11168742,2014-02-22T20:09:24.292Z,"63km ESE of Atka, Alaska",earthquake
2014-02-22T01:54:04.400Z,18.8432,-64.3864,14,3.4,Md,9,298.8,0.4761071,0.21,pr,pr14053000,2014-02-22T09:56:45.752Z,"53km NNE of Road Town, British Virgin Islands",earthquake
2014-02-22T01:53:19.000Z,50.9145,-176.3424,27.2,3.4,ml,8,316.799974656002,0.9890451,1,ak,ak11168677,2014-02-22T20:06:34.242Z,"109km SSE of Adak, Alaska",earthquake
2014-02-22T01:41:41.640Z,51.2802,-176.2892,49.88,4.8,mb,,146,0.651,0.79,us,usc000mw5l,2014-02-22T09:44:20.213Z,"71km SSE of Adak, Alaska",earthquake
2014-02-21T23:44:57.040Z,40.1719,142.4405,61.75,4.4,mb,,177,1.919,0.81,us,usc000mw38,2014-02-22T07:47:39.436Z,"72km NE of Miyako, Japan",earthquake
2014-02-21T22:31:11.840Z,35.9678,140.4214,58.29,4.7,mb,,106,1.882,0.96,us,usc000mw0t,2014-02-22T06:33:44.184Z,"8km E of Inashiki, Japan",earthquake
2014-02-21T21:38:50.010Z,35.7761,-97.4759,5,3.2,mb_lg,,69,0.026,0.62,us,usc000mvy2,2014-02-22T04:57:02.000Z,"12km SSW of Guthrie, Oklahoma",earthquake
2014-02-21T21:19:23.000Z,46.8045,-119.2242,17.2,2.6,Ml,,72,0.11678099,0.11,uw,uw60699017,2014-02-23T19:33:22.606Z,"3km WSW of Othello, Washington",earthquake
2014-02-21T20:25:16.080Z,24.6053,121.6505,66.55,4.8,mwr,,28,0.259,0.9,us,usc000mvv9,2014-02-26T16:59:12.204Z,"19km SSW of Yilan, Taiwan",earthquake
2014-02-21T18:50:19.000Z,60.1732,-150.6818,84.7,2.7,ml,52,86.3999930880005,0.4069368,0.83,ak,ak11168171,2014-02-22T16:49:15.000Z,"40km S of Sterling, Alaska",earthquake
2014-02-21T18:47:03.000Z,55.7528,-164.0749,148.1,3.3,ml,,179,0.918,2.09,us,usc000mvt5,2014-02-22T16:06:05.207Z,"106km NW of Cold Bay, Alaska",earthquake
2014-02-21T18:23:06.000Z,58.6548,-153.5392,173.8,2.5,ml,11,208.799983296001,1.005215,2.3,ak,ak11168162,2014-02-22T15:52:59.000Z,"113km NNW of Kodiak Station, Alaska",earthquake
2014-02-21T17:51:41.250Z,-30.6909,-177.9572,38.69,5,mb,,35,1.441,1.45,us,usc000mvp7,2014-02-22T15:20:55.000Z,"121km NE of L'Esperance Rock, New Zealand",earthquake
2014-02-21T16:57:05.300Z,18.8374,-64.4349,15,3,Md,13,295.2,0.4527509,0.31,pr,pr14052003,2014-02-22T01:18:40.738Z,"50km NNE of Road Town, British Virgin Islands",earthquake
2014-02-21T15:19:12.630Z,36.7427,-98.6389,5.88,2.9,mb_lg,,79,0.465,0.51,us,usc000mvig,2014-02-22T01:18:33.621Z,"7km SSE of Alva, Oklahoma",earthquake
2014-02-21T15:18:26.160Z,38.2132,20.4623,39.77,4.6,mb,,88,1.553,1.49,us,usc000mvid,2014-02-22T01:18:37.477Z,"2km ENE of Lixourion, Greece",earthquake
2014-02-21T14:26:13.450Z,36.8397,-97.912,4.44,2.9,mb_lg,,51,0.339,0.72,us,usc000mvhh,2014-02-21T22:29:00.952Z,"16km WNW of Medford, Oklahoma",earthquake
2014-02-21T14:21:05.000Z,66.0386,-151.5647,10.5,2.5,ml,28,115.199990784001,0.7653646,0.91,ak,ak11168112,2014-02-21T22:23:34.072Z,"74km SE of New Allakaket, Alaska",earthquake
2014-02-21T13:57:25.700Z,19.0401,-63.8511,18,2.8,Md,5,345.6,0.95311252,0.23,pr,pr14052002,2014-02-21T21:59:55.809Z,"106km NE of Road Town, British Virgin Islands",earthquake
2014-02-21T12:42:07.740Z,0.1952,-79.1322,31.71,4.6,mb,,95,0.682,0.58,us,usc000mvf8,2014-02-21T20:44:49.258Z,"40km ESE of Rosa Zarate, Ecuador",earthquake
2014-02-21T12:14:39.050Z,-24.2758,-115.4988,10,4.8,mb,,62,6.242,0.54,us,usc000mver,2014-02-21T20:17:32.252Z,"Southern East Pacific Rise",earthquake
2014-02-21T12:12:11.900Z,19.1166,-66.6303,47,3,Md,15,244.8,0.64229543,0.36,pr,pr14052001,2014-02-21T20:14:51.403Z,"71km N of Arecibo, Puerto Rico",earthquake
2014-02-21T11:43:26.070Z,12.4655,-70.6857,30.7,5.1,mb,,38,3.559,0.87,us,usc000mvdy,2014-02-21T19:45:53.718Z,"69km WSW of Arasji, Aruba",earthquake
2014-02-21T10:43:45.940Z,-28.5124,-68.0016,105.16,5.1,mb,,96,2.95,1.49,us,usc000mvd7,2014-02-21T18:46:11.815Z,"33km NE of Vinchina, Argentina",earthquake
2014-02-21T09:03:02.400Z,40.3443,-124.3455,30.4,3.1,Ml,,216,0.05389892,0.13,nc,nc72172021,2014-02-25T04:14:05.144Z,"26km SW of Rio Dell, California",earthquake
2014-02-21T09:02:23.000Z,41.5713,-122.3333,18.5,2.5,Md,,50.4,0.09881468,0.14,nc,nc72172016,2014-02-28T08:17:08.891Z,"17km NNE of Weed, California",earthquake
2014-02-21T09:00:40.000Z,54.638,-153.3218,12.4,3.4,ml,21,233.999981280001,2.579961,1.51,ak,ak11168021,2014-02-21T19:06:50.296Z,"197km SE of Chirikof Island, Alaska",earthquake
2014-02-21T08:32:48.150Z,-6.4382,130.0664,149.47,4.8,mb,,69,1.962,0.78,us,usc000mv8d,2014-02-21T16:36:24.564Z,"216km NW of Saumlaki, Indonesia",earthquake
2014-02-21T05:58:22.000Z,61.0017,-151.1034,71.6,2.7,ml,59,43.1999965440003,0.2344603,0.57,ak,ak11167987,2014-02-21T14:00:54.991Z,"36km NNE of Nikiski, Alaska",earthquake
2014-02-21T05:34:44.810Z,-17.6952,-178.5127,588.57,4.2,mb,,79,3.273,0.98,us,usc000mv5r,2014-02-21T13:37:12.445Z,"264km ESE of Lambasa, Fiji",earthquake
2014-02-21T05:33:00.100Z,19.2614,-66.7145,34,2.6,Md,10,288,0.7995006,0.23,pr,pr14052000,2014-02-26T14:03:04.000Z,"86km N of Hatillo, Puerto Rico",earthquake
2014-02-21T04:43:32.760Z,-22.2591,-179.4482,577.34,4.4,mb,,118,5.068,0.68,us,usc000mv51,2014-02-21T12:46:00.687Z,"194km SSW of Ndoi Island, Fiji",earthquake
2014-02-20T23:47:56.000Z,60.8928,-151.4571,72.7,2.5,ml,43,57.5999953920004,0.1922395,0.76,ak,ak11167905,2014-02-21T07:50:37.808Z,"24km NNW of Nikiski, Alaska",earthquake
2014-02-20T23:47:33.800Z,38.43,20.36,10,4,mb,,,,1.04,us,usc000muzl,2014-02-21T07:50:01.169Z,"26km NNW of Lixourion, Greece",earthquake
2014-02-20T23:12:38.510Z,45.8627,142.6131,324.51,4.8,mb,,33,1.101,0.72,us,usc000muyp,2014-02-21T07:15:10.692Z,"82km NE of Makubetsu, Japan",earthquake
2014-02-20T22:44:17.500Z,19.517,-66.4466,82,3.3,Md,7,309.6,1.03665584,0.3,pr,pr14051004,2014-02-21T06:46:47.448Z,"116km N of Tierras Nuevas Poniente, Puerto Rico",earthquake
2014-02-20T22:06:29.900Z,44.3473,-121.0395,0,2.5,Ml,,122.4,0.10779783,0.84,uw,uw60046008,2014-02-24T18:18:54.866Z,"11km E of Terrebonne, Oregon",quarry
2014-02-20T21:47:02.360Z,11.523,-86.3867,112.57,4.5,mb,,154,1.267,0.96,us,usc000mutu,2014-02-21T05:49:41.196Z,"28km S of El Rosario, Nicaragua",earthquake
2014-02-20T21:36:26.000Z,60.7924,-150.7305,54.9,3.4,ml,97,43.1999965440003,0.3745975,1.03,ak,ak11167853,2014-02-21T05:38:57.460Z,"28km N of Sterling, Alaska",earthquake
2014-02-20T21:25:41.000Z,53.6424,-163.8036,92.3,2.5,ml,6,287.999976960002,0.945926,0.3,ak,ak11171592,2014-02-26T22:48:39.665Z,"136km S of False Pass, Alaska",earthquake
2014-02-20T19:18:04.850Z,37.6616667,-118.8551667,5.69,2.58,md,43,85,0.02819,0.05,nc,nc72171381,2014-03-01T05:23:09.328Z,"10km E of Mammoth Lakes, California",earthquake
2014-02-20T17:08:25.000Z,53.02,-163.5079,63.2,2.8,ml,7,320.399974368002,1.634934,0.41,ak,ak11171572,2014-02-26T22:49:55.069Z,"194km SE of Akutan, Alaska",earthquake
2014-02-20T16:38:14.300Z,19.6091,-66.1873,126,3.3,Md,14,252,1.17050482,0.17,pr,pr14051003,2014-02-21T16:15:09.000Z,"126km N of San Juan, Puerto Rico",earthquake
2014-02-20T16:28:50.300Z,-36.404,-39.5788,15.37,5,mb,,50,18.009,0.69,us,usc000muef,2014-02-21T15:59:57.000Z,"South Atlantic Ocean",earthquake
2014-02-20T14:57:45.000Z,54.1785,-163.9212,63,2.6,ml,6,223.199982144001,0.4850903,0.23,ak,ak11171560,2014-02-26T22:49:35.033Z,"81km SSW of False Pass, Alaska",earthquake
2014-02-20T13:51:07.300Z,19.9757,-155.7975,10.4,2.6,Ml,,154.8,0.10779783,0.12,hv,hv60644286,2014-02-20T21:13:39.296Z,"3km NNW of Waikoloa, Hawaii",earthquake
2014-02-20T13:26:20.660Z,79.9703,-0.1993,9.93,5,mb,,39,10.897,0.95,us,usc000muau,2014-02-20T21:28:57.556Z,"Greenland Sea",earthquake
2014-02-20T13:21:30.200Z,51.361,-4.184,5,4.1,ml,,,,1.05,us,usc000muba,2014-02-20T21:24:03.420Z,"17km NNW of Ilfracombe, United Kingdom",earthquake
2014-02-20T11:11:19.000Z,61.6019,-150.1397,18.2,3.2,ml,77,35.9999971200002,0.3206986,0.9,ak,ak11167721,2014-02-20T19:13:56.232Z,"13km NW of Big Lake, Alaska",earthquake
2014-02-20T08:43:00.500Z,18.5128,-65.0255,34,2.7,Md,5,208.8,0.17337485,0.07,pr,pr14051001,2014-02-20T16:45:33.645Z,"21km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2014-02-20T08:16:11.000Z,44.228,-114.0415,11.9,2.5,Md,22,111.6,0.46353069,0.27,mb,mb14702500,2014-02-25T17:56:03.659Z,"34km SSE of Challis, Idaho",earthquake
2014-02-20T06:21:06.000Z,50.9636,-170.9282,38.7,3,Ml,5,342,2.36077257,0.37,ak,ak11171526,2014-02-26T22:50:15.001Z,"171km S of Amukta Island, Alaska",earthquake
2014-02-20T05:18:23.120Z,-32.3918,-178.8038,36.27,5.2,mb,,63,3.225,1.17,us,usc000mu5l,2014-02-20T13:20:54.356Z,"106km S of L'Esperance Rock, New Zealand",earthquake
2014-02-20T04:09:57.160Z,-14.1378,-14.5788,10,5.3,mb,,95,22.548,1.16,us,usc000mu59,2014-02-20T12:12:38.679Z,"Southern Mid-Atlantic Ridge",earthquake
2014-02-20T03:35:43.300Z,19.2714,-68.1461,27,3.1,Md,22,266.4,0.78512756,0.25,pr,pr14051000,2014-02-20T11:38:10.466Z,"81km NNE of Punta Cana, Dominican Republic",earthquake
2014-02-20T02:57:34.000Z,62.0269,-147.7073,20.3,3.5,ml,94,28.7999976960002,0.2623081,1.06,ak,ak11167669,2014-02-20T11:00:09.224Z,"65km ENE of Sutton-Alpine, Alaska",earthquake
2014-02-20T02:53:20.000Z,51.4179,-178.1958,47.5,2.5,ml,9,251.999979840002,0.4258014,0.26,ak,ak11171510,2014-02-26T22:48:01.534Z,"51km S of Tanaga Volcano, Alaska",earthquake
2014-02-20T01:32:52.160Z,42.8477,132.1674,512.57,4.5,mb,,49,1.357,0.82,us,usc000mu3f,2014-02-20T09:35:32.160Z,"14km WSW of Dunay, Russia",earthquake
2014-02-20T00:34:41.600Z,35.3081667,-118.4901667,3.53,3.68,ml,53,39,0.1037,0.1,ci,ci37189912,2014-02-25T21:59:52.335Z,"18km N of Golden Hills, California",earthquake
2014-02-20T00:13:36.150Z,51.6612,-179.4574,88.84,4.7,mb,,203,0.457,1.13,us,usc000mu1b,2014-02-28T02:04:49.000Z,"50km NNW of Amatignak Island, Alaska",earthquake
2014-02-20T00:03:12.000Z,63.9219,-149.095,100,2.6,ml,55,35.9999971200002,0.2012226,0.85,ak,ak11167553,2014-02-28T02:31:27.000Z,"8km NNW of Healy, Alaska",earthquake
2014-02-19T23:17:49.410Z,54.652,-161.118,27.8,3.4,ml,,,,0.98,us,usc000mvus,2014-02-28T03:03:44.000Z,"85km SSW of Sand Point, Alaska",earthquake
2014-02-19T23:08:12.790Z,38.3048,20.2944,10,4.2,mb,,88,1.713,1.2,us,usc000mtyy,2014-02-20T07:10:48.973Z,"16km NW of Lixourion, Greece",earthquake
2014-02-19T23:04:55.300Z,18.8766,-64.6126,4,2.9,Md,7,298.8,0.45724248,0.18,pr,pr14050009,2014-02-28T03:24:36.000Z,"50km N of Road Town, British Virgin Islands",earthquake
2014-02-19T23:03:49.800Z,18.9314,-64.564,16,2.9,Md,9,302.4,0.51383634,0.23,pr,pr14050008,2014-02-28T03:28:37.000Z,"57km N of Road Town, British Virgin Islands",earthquake
2014-02-19T22:41:24.500Z,18.8652,-64.5747,14,2.7,Md,7,298.8,0.44825933,0.18,pr,pr14050007,2014-02-28T02:23:00.000Z,"49km N of Road Town, British Virgin Islands",earthquake
2014-02-19T20:34:08.100Z,44.7762,-111.0853,8.1,2.5,Ml,,79.2,0.02694946,0.18,uu,uu60057007,2014-02-20T16:05:51.000Z,"12km N of West Yellowstone, Montana",earthquake
2014-02-19T19:03:34.000Z,52.1137,-171.8043,41.8,3.3,ml,,205,1.392,1.4,us,usc000mtp3,2014-02-21T20:21:52.962Z,"55km SW of Amukta Island, Alaska",earthquake
2014-02-19T16:44:57.590Z,35.7626,-97.4518,6.34,3.2,mb_lg,,74,0.034,1.13,us,usc000mtjk,2014-02-20T03:59:54.016Z,"12km N of Edmond, Oklahoma",earthquake
2014-02-19T16:10:04.330Z,-5.9593,132.4876,79.11,4.5,mb,,132,2.33,0.84,us,usc000mtiz,2014-02-20T00:12:30.771Z,"43km SW of Tual, Indonesia",earthquake
2014-02-19T15:49:44.920Z,43.2585,-110.6455,5,2.8,ml,,50,0.182,0.77,us,usc000mtgb,2014-02-19T23:52:21.743Z,"11km ESE of Hoback, Wyoming",earthquake
2014-02-19T15:16:03.400Z,-23.7089,-179.7705,497.95,4.7,mb,,99,5.755,0.65,us,usc000mtfz,2014-02-19T23:18:43.511Z,"South of the Fiji Islands",earthquake
2014-02-19T12:49:06.960Z,52.2444,143.3956,17.06,5.2,mb,,102,5.307,0.73,us,usc000mte4,2014-02-19T20:51:56.035Z,"48km NNE of Nogliki, Russia",earthquake
2014-02-19T11:14:10.750Z,6.1069,126.1381,140.75,4.7,mb,,96,1.106,0.75,us,usc000mtb6,2014-02-19T19:16:45.773Z,"28km S of Pondaguitan, Philippines",earthquake
2014-02-19T11:10:12.060Z,9.6462,-69.6467,10,5.5,mb,,26,1.234,0.92,us,usc000mtb4,2014-02-26T18:57:27.027Z,"11km S of Sanare, Venezuela",earthquake
2014-02-19T10:41:18.000Z,63.5256,-146.4563,10.5,2.5,ml,48,28.7999976960002,0.3224952,0.98,ak,ak11167190,2014-02-21T21:11:17.034Z,"67km SSW of Delta Junction, Alaska",earthquake
2014-02-19T10:29:52.780Z,26.2013,128.2487,22.09,4.8,mb,,107,0.632,0.94,us,usc000mtat,2014-02-19T20:50:40.213Z,"40km ESE of Haebaru, Japan",earthquake
2014-02-19T10:01:52.300Z,40.4077,-124.7877,16.9,2.6,Md,,266.4,0.35034296,0.22,nc,nc72170726,2014-02-20T05:12:09.820Z,"48km WSW of Ferndale, California",earthquake
2014-02-19T06:15:52.000Z,51.6771,-178.9105,0.6,2.5,ml,15,320.399974368002,0.1446288,0.61,ak,ak11167170,2014-02-21T20:19:50.487Z,"48km NNE of Amatignak Island, Alaska",earthquake
2014-02-19T05:18:12.000Z,51.6836,-175.6559,18.6,3.3,ml,21,215.999982720001,0.3440548,0.6,ak,ak11167152,2014-02-21T20:19:47.101Z,"72km ESE of Adak, Alaska",earthquake
2014-02-19T04:40:02.000Z,64.7722,-140.6025,13.7,2.8,ml,32,100.799991936001,0.2362569,0.67,ak,ak11167148,2014-02-21T21:11:40.961Z,"24km E of Eagle Village, Alaska",earthquake
2014-02-19T04:12:50.010Z,31.573,-115.4985,10,3.43,ml,3,174,0.527,0.14,ci,ci15468273,2014-02-19T18:12:16.491Z,"78km SSW of Alberto Oviedo Mota, Mexico",earthquake
2014-02-19T04:09:20.400Z,19.0935,-66.7975,37,2.9,Md,7,280.8,0.68990614,0.31,pr,pr14050003,2014-02-19T12:11:59.488Z,"67km N of Hatillo, Puerto Rico",earthquake
2014-02-19T04:09:15.110Z,31.5721667,-115.5203333,10,3.47,ml,4,146,0.5275,0.17,ci,ci15468265,2014-02-19T18:06:13.413Z,"79km SSW of Alberto Oviedo Mota, Mexico",earthquake
2014-02-19T04:08:11.900Z,19.023,-66.8464,8,2.9,Md,6,280.8,0.60636282,0.15,pr,pr14050002,2014-02-19T12:10:50.517Z,"59km N of Hatillo, Puerto Rico",earthquake
2014-02-19T04:00:02.800Z,31.5766667,-115.504,10,3.69,ml,3,174,0.5309,0.17,ci,ci15468257,2014-02-19T19:27:33.609Z,"78km SSW of Alberto Oviedo Mota, Mexico",earthquake
2014-02-19T03:04:55.420Z,36.1526,-97.2761,1.31,3,mb_lg,,121,0.383,0.39,us,usc000mt87,2014-02-19T21:44:06.000Z,"15km S of Perry, Oklahoma",earthquake
2014-02-19T02:44:15.900Z,18.4559,-66.0784,111,2.5,Md,15,223.2,0.14552708,0.15,pr,pr14050000,2014-02-19T10:46:51.608Z,"3km ESE of San Juan, Puerto Rico",earthquake
2014-02-19T02:31:33.000Z,59.5262,-153.8173,136.2,2.6,ml,89,107.999991360001,0.2344603,0.64,ak,ak11167120,2014-02-21T20:20:53.974Z,"66km ESE of Old Iliamna, Alaska",earthquake
2014-02-18T23:35:58.320Z,-14.1747,-75.6129,52.44,5.7,mb,,69,2.482,0.8,us,usc000mt6q,2014-02-20T00:56:28.000Z,"11km E of Santiago, Peru",earthquake
2014-02-18T23:29:54.000Z,52.0036,-170.4799,31.4,2.7,ml,9,226.799981856001,1.382507,0.39,ak,ak11167834,2014-02-20T18:47:39.316Z,"71km SSE of Yunaska Island, Alaska",earthquake
2014-02-18T22:16:43.800Z,49.389,-120.4733,0,2.5,Md,,162,0.56593863,0.4,uw,uw60695492,2014-02-19T04:15:43.723Z,"8km SSE of Princeton, Canada",quarry
2014-02-18T21:51:39.470Z,38.8309,43.7556,39,4.6,mb,,108,1.52,1.26,us,usc000mt3m,2014-02-19T05:54:21.090Z,"28km NW of Ozalp, Turkey",earthquake
2014-02-18T20:04:56.390Z,32.1498333,-115.2155,6.35,2.65,ml,15,239,0.2794,0.23,ci,ci37189408,2014-02-19T04:07:25.705Z,"9km SSW of Alberto Oviedo Mota, Mexico",earthquake
2014-02-18T20:02:32.640Z,38.324,142.3404,48.66,4.7,mb,,43,3.739,0.86,us,usc000mszp,2014-02-19T18:31:49.000Z,"91km E of Ishinomaki, Japan",earthquake
2014-02-18T20:01:46.800Z,19.2805,-155.1378,38.8,3,Ml,,187.2,0.00898315,0.11,hv,hv60643211,2014-02-19T18:48:02.000Z,"19km SSE of Volcano, Hawaii",earthquake
2014-02-18T19:12:34.000Z,55.9082,-159.3327,98.1,2.7,ml,15,111.599991072001,0.2569182,0.5,ak,ak11167823,2014-02-20T18:47:42.576Z,"52km SW of Chignik Lake, Alaska",earthquake
2014-02-18T17:19:16.400Z,35.783,-97.4784,5,2.6,mb_lg,,84,0.023,0.9,us,usc000mtad,2014-02-20T10:38:19.163Z,"11km SSW of Guthrie, Oklahoma",earthquake
2014-02-18T17:05:52.300Z,40.4279,87.3208,16.22,4,mb,,208,7.005,1.33,us,usc000msug,2014-02-19T15:20:41.013Z,"177km SE of Korla, China",earthquake
2014-02-18T16:18:56.000Z,17.823,-69.221,107,4.6,Ml,18,190.8,0.91717991,0.72,at,at00n179bk,2014-02-18T20:34:02.401Z,"71km S of San Pedro de Macoris, Dominican Republic",earthquake
2014-02-18T16:17:56.000Z,51.8317,-175.6301,67.3,2.6,ml,19,201.599983872001,0.2389519,0.44,ak,ak11166580,2014-02-20T18:44:09.172Z,"71km E of Adak, Alaska",earthquake
2014-02-18T16:15:39.960Z,-5.3099,152.0966,64.22,5.1,mb,,62,5.727,0.77,us,usc000mst6,2014-02-19T00:18:19.889Z,"107km S of Kokopo, Papua New Guinea",earthquake
2014-02-18T15:17:18.850Z,35.771,-97.454,4.8,2.8,ml,,,,0.61,us,usc000msxs,2014-02-18T19:35:15.000Z,"12km SSW of Guthrie, Oklahoma",earthquake
2014-02-18T14:22:01.540Z,36.718,-97.71,5,2.7,ml,,,,0.96,us,usc000msxf,2014-02-18T22:24:30.236Z,"10km SSE of Medford, Oklahoma",earthquake
2014-02-18T14:16:18.980Z,-5.6531,148.1577,54.72,5,mb,,62,3.671,0.71,us,usc000msrk,2014-02-18T22:18:50.989Z,"109km NNE of Finschhafen, Papua New Guinea",earthquake
2014-02-18T13:51:25.000Z,56.8537,-154.1417,55.4,2.5,ml,11,133.199989344001,0.2946474,0.7,ak,ak11166445,2014-02-20T18:45:39.785Z,"77km S of Larsen Bay, Alaska",earthquake
2014-02-18T13:48:01.330Z,-6.6422,127.3545,397.78,4.6,mb,,65,7.734,1.09,us,usc000msr7,2014-02-18T21:50:30.229Z,"289km NE of Dili, East Timor",earthquake
2014-02-18T12:41:57.970Z,-12.0301,165.1179,10.01,4.8,mb,,100,3.955,0.5,us,usc000msnr,2014-02-18T20:44:27.980Z,"164km SSW of Lata, Solomon Islands",earthquake
2014-02-18T12:38:29.000Z,50.7812,-173.3402,10.8,2.8,ml,14,305.999975520002,1.51456,0.41,ak,ak11167798,2014-02-20T18:47:36.039Z,"168km SSE of Atka, Alaska",earthquake
2014-02-18T12:35:55.700Z,18.1262,119.9125,10,5,mb,,79,4.794,0.73,us,usc000msnl,2014-02-18T20:38:36.872Z,"60km WNW of Pagsanahan Norte, Philippines",earthquake
